Country,2021,2020,2019,2018,2017,2016,2015,2014,2013
Thailand,19.85,20.63,22.58,23.11,20.13,17.7,18.58,19.04,21.88
Trinidad And Tobago,45.98,53.12,46.69,45.45,37.4,31.19,36.59,30.94,42.45
Tunisia,22.06,19.34,17.15,19.09,18.24,20.78,21.08,28.61,24.82
Turkey,14.5,15.4,15.99,17.59,18.63,19.53,20.58,27.16,30.54
Ukraine,5.99,5.63,5.03,4.57,3.99,3.38,3.87,5.9,8.79
United Arab Emirates,100.09,97.42,102.37,99.12,95.26,88.31,85.02,79.75,72.33
United Kingdom,42.77,38.1,39.31,41.26,33.97,32.91,31.42,31.86,29.25
United States,68.55,65.84,65.24,62.43,59.66,52.8,49.7,47.2,46.73
Uruguay,38.31,31.37,33.51,34.34,35.61,27.34,29.25,33.52,44.06
Vietnam,10.92,10.33,11.43,11.28,10.85,11.68,11.37,14.36,12.92
