Country Code,YR2021
ARE,
ARG,23627.3942944195
AUS,55807.4440245279
CAN,52085.0356853372
FRA,50728.667429396
IND,7333.505611842
LKA,14127.2112794587
PER,13895.2758164137
UKR,14219.7900390625
USA,69287.536587952
